Cabeceras Generacion, Fecha: 11-11-15-25-11-305Generacion: 0, Poblacion: 100, Evaluacion:{ Mejor:    35, Max: -210.000, Min: -240.000, Suma: -23140.000}
Generacion: 52, Poblacion: 100, Evaluacion:{ Mejor:    71, Max: -190.000, Min: -240.000, Suma: -23140.000}
Generacion: 53, Poblacion: 100, Evaluacion:{ Mejor:    11, Max: -200.000, Min: -240.000, Suma: -23150.000}
Generacion: 54, Poblacion: 100, Evaluacion:{ Mejor:    43, Max: -190.000, Min: -240.000, Suma: -23100.000}
Generacion: 55, Poblacion: 100, Evaluacion:{ Mejor:    47, Max: -190.000, Min: -240.000, Suma: -22910.000}
Generacion: 56, Poblacion: 100, Evaluacion:{ Mejor:     0, Max: -190.000, Min: -240.000, Suma: -22840.000}
Generacion: 57, Poblacion: 100, Evaluacion:{ Mejor:    35, Max: -190.000, Min: -240.000, Suma: -22950.000}
Generacion: 58, Poblacion: 100, Evaluacion:{ Mejor:    16, Max: -190.000, Min: -240.000, Suma: -23010.000}
Generacion: 59, Poblacion: 100, Evaluacion:{ Mejor:    11, Max: -190.000, Min: -240.000, Suma: -22990.000}
Generacion: 60, Poblacion: 100, Evaluacion:{ Mejor:    83, Max: -190.000, Min: -240.000, Suma: -23010.000}
Generacion: 61, Poblacion: 100, Evaluacion:{ Mejor:    10, Max: -200.000, Min: -240.000, Suma: -22880.000}
Generacion: 62, Poblacion: 100, Evaluacion:{ Mejor:    58, Max: -200.000, Min: -240.000, Suma: -22950.000}
Generacion: 63, Poblacion: 100, Evaluacion:{ Mejor:    10, Max: -210.000, Min: -240.000, Suma: -22950.000}
Generacion: 64, Poblacion: 100, Evaluacion:{ Mejor:    12, Max: -200.000, Min: -240.000, Suma: -22980.000}
Generacion: 65, Poblacion: 100, Evaluacion:{ Mejor:    24, Max: -200.000, Min: -240.000, Suma: -22970.000}
Generacion: 66, Poblacion: 100, Evaluacion:{ Mejor:     6, Max: -210.000, Min: -240.000, Suma: -23030.000}
Generacion: 67, Poblacion: 100, Evaluacion:{ Mejor:    10, Max: -210.000, Min: -240.000, Suma: -23040.000}
Generacion: 68, Poblacion: 100, Evaluacion:{ Mejor:    74, Max: -210.000, Min: -240.000, Suma: -23000.000}
Generacion: 69, Poblacion: 100, Evaluacion:{ Mejor:     0, Max: -210.000, Min: -240.000, Suma: -23000.000}
Generacion: 70, Poblacion: 100, Evaluacion:{ Mejor:    33, Max: -210.000, Min: -240.000, Suma: -23100.000}
Generacion: 71, Poblacion: 100, Evaluacion:{ Mejor:    21, Max: -210.000, Min: -240.000, Suma: -23200.000}
Generacion: 72, Poblacion: 100, Evaluacion:{ Mejor:    35, Max: -210.000, Min: -240.000, Suma: -23120.000}
Generacion: 73, Poblacion: 100, Evaluacion:{ Mejor:    10, Max: -210.000, Min: -240.000, Suma: -23060.000}
Generacion: 74, Poblacion: 100, Evaluacion:{ Mejor:    10, Max: -210.000, Min: -240.000, Suma: -22950.000}
Generacion: 75, Poblacion: 100, Evaluacion:{ Mejor:    55, Max: -200.000, Min: -240.000, Suma: -22930.000}
Generacion: 76, Poblacion: 100, Evaluacion:{ Mejor:    38, Max: -190.000, Min: -240.000, Suma: -22970.000}
Generacion: 77, Poblacion: 100, Evaluacion:{ Mejor:    92, Max: -190.000, Min: -240.000, Suma: -22840.000}
Generacion: 78, Poblacion: 100, Evaluacion:{ Mejor:    15, Max: -210.000, Min: -240.000, Suma: -22890.000}
Generacion: 79, Poblacion: 100, Evaluacion:{ Mejor:    13, Max: -210.000, Min: -240.000, Suma: -23050.000}
Generacion: 80, Poblacion: 100, Evaluacion:{ Mejor:    12, Max: -210.000, Min: -240.000, Suma: -22990.000}
Generacion: 81, Poblacion: 100, Evaluacion:{ Mejor:    36, Max: -190.000, Min: -240.000, Suma: -22910.000}
